FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_ontem_hoje_ref.1d07951a-4761-35aa-ab33-327413527a0e,-52.623,-31.484,2019-07-08T17:40:00,AQUA_M-T,CANGUÇU,RIO GRANDE DO SUL,Brasil,POINT (-31.484 -52.623)
focos_ams_ontem_hoje_ref.1d0c1cf6-916b-3b30-b2ad-e8271f08eeaa,-65.219,-7.94,2019-07-08T17:45:00,AQUA_M-T,LÁBREA,AMAZONAS,Brasil,POINT (-7.94 -65.219)
focos_ams_ontem_hoje_ref.1d71fef0-e016-3200-b3e6-ce4c249379f2,-56.062,-26.569,2019-07-08T17:40:00,AQUA_M-T,San Pedro del Paraná,Itapúa,Paraguay,POINT (-26.569 -56.062)
focos_ams_ontem_hoje_ref.1d726d0b-5902-3b69-8808-80e1a66d02c1,-63.868,-15.258,2019-07-08T17:45:00,AQUA_M-T,Marbán,El Beni,Bolivia,POINT (-15.258 -63.868)
focos_ams_ontem_hoje_ref.1d77ab50-609b-3ff8-8401-c32aa9cd3784,-56.902,-25.518,2019-07-08T17:40:00,AQUA_M-T,Valenzuela,Cordillera,Paraguay,POINT (-25.518 -56.902)
focos_ams_ontem_hoje_ref.1dd5f4db-03d5-3159-a1dc-035735d4a65c,-64.087,-27.718,2019-07-08T17:40:00,AQUA_M-T,Banda,Santiago del Estero,Argentina,POINT (-27.718 -64.087)
focos_ams_ontem_hoje_ref.1e1163ec-1f3a-348e-a1b0-93946cf25611,-58.991,-18.463,2019-07-08T17:45:00,AQUA_M-T,Chiquitos,Santa Cruz,Bolivia,POINT (-18.463 -58.991)
focos_ams_ontem_hoje_ref.1ed9218d-8256-3909-bfb2-f1b86a78b625,-56.398,-10.562,2019-07-08T17:45:00,AQUA_M-T,ALTA FLORESTA,MATO GROSSO,Brasil,POINT (-10.562 -56.398)
focos_ams_ontem_hoje_ref.1f1ea49b-2d04-3a64-b9be-34e4eb627bc8,-56.386,-24.349,2019-07-08T17:40:00,AQUA_M-T,San Estanislao,San Pedro,Paraguay,POINT (-24.349 -56.386)
focos_ams_ontem_hoje_ref.1fd79e7f-a0d0-3fc2-ae7c-5f2f25c7cdc4,-64.384,-13.279,2019-07-08T17:45:00,AQUA_M-T,Mamoré,El Beni,Bolivia,POINT (-13.279 -64.384)
